years_since_introduction,release_date,pit_tag_id,lo_survival,median_survival,hi_survival
4,2015-08-12,900067000063987,0,0,0
4,2015-08-12,900067000063988,0,0,0
4,2015-08-12,900067000063993,0,0,0
4,2015-08-12,900067000063995,0,0,0
4,2015-08-12,900067000063996,0,0,0
4,2015-08-12,900067000063997,0,0,0
4,2015-08-12,900067000064000,0,0,0
4,2015-08-12,900067000114499,0,0,0
4,2015-08-12,982000365440172,0,0,0
4,2015-08-12,982000365440186,0,0,1
4,2015-08-12,982000365440187,0,0,0
4,2015-08-12,982000365440196,0,0,0
4,2015-08-12,982000365440197,0,0,0
4,2015-08-12,982000365440205,0,0,0
4,2015-08-12,982000365440211,0,0,0
4,2015-08-12,982000365440245,0,0,0
4,2015-08-12,982000365440260,0,0,0
4,2015-08-12,982000365440269,0,0,0
4,2015-08-12,982000365440278,0,0,0
4,2015-08-12,982000365440280,0,0,0
4,2015-08-12,982000365440285,0,0,0
4,2015-08-12,982000365440287,0,0,0
4,2015-08-12,982000365440332,0,0,0
4,2015-08-12,982000365440336,0,0,0
4,2015-08-12,982000365440349,0,0,0
4,2015-08-12,982000365440352,0,0,0
4,2017-08-09,900067000116883,0,0,0.2
4,2017-08-09,900067000116890,0,0,0
4,2017-08-09,900067000116898,0,0,0
4,2017-08-09,900067000116914,0,0,0
4,2017-08-09,900067000116917,0,0,0
4,2017-08-09,900067000116921,0,0,0
4,2017-08-09,900067000116952,0,0,0
4,2017-08-09,900067000116955,0,0,0
4,2017-08-09,900067000116969,0,0,0
4,2017-08-09,900067000117381,0,0,1
4,2017-08-09,900067000117388,0,0,0
4,2017-08-09,900067000117395,0,0,0
4,2017-08-09,900067000117396,0,0,0
4,2017-08-09,900067000117398,0,0,0
4,2017-08-09,900067000117409,0,0,0
4,2017-08-09,900067000117410,0,0,0
4,2017-08-09,900067000117414,0,0,0
4,2017-08-09,900067000117415,0,0,0
4,2017-08-09,900067000117419,0,0,0
4,2017-08-09,900067000117425,0,0,0
4,2017-08-09,900067000117427,0,0,0
4,2017-08-09,900067000117428,0,0,0
4,2017-08-09,900067000117429,0,0,0
4,2017-08-09,900067000117436,0,0,0
4,2017-08-09,900067000117437,0,0,0
4,2017-08-09,900067000117440,0,0,0
4,2017-08-09,900067000117442,0,0,0
4,2017-08-09,900067000117443,0,0,0
4,2017-08-09,900067000117479,0,0,0
5,2015-08-12,900043000104460,0,0,0
5,2015-08-12,900043000104497,0,0,0
5,2015-08-12,900067000063902,0,0,0
5,2015-08-12,900067000063903,0,0,0
5,2015-08-12,900067000063904,0,0,0
5,2015-08-12,900067000063905,0,0,0
5,2015-08-12,900067000063906,0,0,0
5,2015-08-12,900067000063907,0,0,0
5,2015-08-12,900067000063910,0,0,0
5,2015-08-12,900067000063911,0,0,0
5,2015-08-12,900067000063912,0,0,0
5,2015-08-12,900067000063913,0,0,0
5,2015-08-12,900067000063914,0,0,0
5,2015-08-12,900067000063915,0,0,0
5,2015-08-12,900067000063917,0,0,0
5,2015-08-12,900067000063918,0,0,0
5,2015-08-12,900067000063919,0,0,0
5,2015-08-12,900067000063920,0,0,0
5,2015-08-12,900067000063921,0,0,0
5,2015-08-12,900067000063922,0,0,0
5,2015-08-12,900067000063924,0,0,0
5,2015-08-12,900067000063925,0,0,0
5,2015-08-12,900067000063926,0,0,0
5,2015-08-12,900067000063928,0,0,0
5,2015-08-12,900067000063929,0,0,0
5,2015-08-12,900067000063930,0,0,0
5,2015-08-12,900067000063931,0,0,0
5,2015-08-12,900067000063932,0,0,0
5,2015-08-12,900067000063933,0,0,0
5,2015-08-12,900067000063935,0,0,0
5,2015-08-12,900067000063936,0,0,0
5,2015-08-12,900067000063937,0,0,0
5,2015-08-12,900067000063938,0,0,0
5,2015-08-12,900067000063939,0,0,0
5,2015-08-12,900067000063940,0,0,0
5,2015-08-12,900067000063941,0,0,0
5,2015-08-12,900067000063942,0,0,0
5,2015-08-12,900067000063943,0,0,0
5,2015-08-12,900067000063944,0,0,0
5,2015-08-12,900067000063945,0,0,0
5,2015-08-12,900067000063946,0,0,0
5,2015-08-12,900067000063947,0,0,0
5,2015-08-12,900067000063948,0,0,0
5,2015-08-12,900067000063949,0,0,0
5,2015-08-12,900067000063950,0,0,0
5,2015-08-12,900067000063951,0,0,0
5,2015-08-12,900067000063952,0,0,0
5,2015-08-12,900067000063953,0,0,0
5,2015-08-12,900067000063954,0,0,0
5,2015-08-12,900067000063956,0,0,0
5,2015-08-12,900067000063957,0,0,0
5,2015-08-12,900067000063958,0,0,0
5,2015-08-12,900067000063959,0,0,0
5,2015-08-12,900067000063961,0,0,0
5,2015-08-12,900067000063962,0,0,0
5,2015-08-12,900067000063963,0,0,0
5,2015-08-12,900067000063966,0,0,0
5,2015-08-12,900067000063968,0,0,0
5,2015-08-12,900067000063969,0,0,0
5,2015-08-12,900067000063970,0,0,0
5,2015-08-12,900067000063971,0,0,0
5,2015-08-12,900067000063972,0,0,0
5,2015-08-12,900067000063974,0,0,0
5,2015-08-12,900067000063975,0,0,0
5,2015-08-12,900067000063977,0,0,0
5,2015-08-12,900067000063978,0,0,0
5,2015-08-12,900067000063979,0,0,0
5,2015-08-12,900067000063980,0,0,0
5,2015-08-12,900067000063981,0,0,0
5,2015-08-12,900067000063982,0,0,0
5,2015-08-12,900067000063983,0,0,0
5,2015-08-12,900067000063985,0,0,0.6666666666666666
5,2015-08-12,900067000063986,0,0,0
5,2015-08-12,900067000063987,0,0,0
5,2015-08-12,900067000063988,0,0,0
5,2015-08-12,900067000063993,0,0,0
5,2015-08-12,900067000063995,0,0,0
5,2015-08-12,900067000063996,0,0,0
5,2015-08-12,900067000063997,0,0,0
5,2015-08-12,900067000064000,0,0,0
5,2015-08-12,900067000114499,0,0,0
5,2015-08-12,982000365440172,0,0,0
5,2015-08-12,982000365440186,0,0,1
5,2015-08-12,982000365440187,0,0,0
5,2015-08-12,982000365440196,0,0,0
5,2015-08-12,982000365440197,0,0,0
5,2015-08-12,982000365440205,0,0,0
5,2015-08-12,982000365440211,0,0,0
5,2015-08-12,982000365440245,0,0,0
5,2015-08-12,982000365440260,0,0,0
5,2015-08-12,982000365440269,0,0,0
5,2015-08-12,982000365440278,0,0,0
5,2015-08-12,982000365440280,0,0,0
5,2015-08-12,982000365440285,0,0,0
5,2015-08-12,982000365440287,0,0,0
5,2015-08-12,982000365440332,0,0,0
5,2015-08-12,982000365440336,0,0,0
5,2015-08-12,982000365440349,0,0,0
5,2015-08-12,982000365440352,0,0,0
6,2015-08-12,900043000104460,0,0,0
6,2015-08-12,900043000104497,0,0,0
6,2015-08-12,900067000063902,0,0,0
6,2015-08-12,900067000063903,0,0,0
6,2015-08-12,900067000063904,0,0,0
6,2015-08-12,900067000063905,0,0,0
6,2015-08-12,900067000063906,0,0,0
6,2015-08-12,900067000063907,0,0,0
6,2015-08-12,900067000063910,0,0,0
6,2015-08-12,900067000063911,0,0,0
6,2015-08-12,900067000063912,0,0,0
6,2015-08-12,900067000063913,0,0,0
6,2015-08-12,900067000063914,0,0,0
6,2015-08-12,900067000063915,0,0,0
6,2015-08-12,900067000063917,0,0,0
6,2015-08-12,900067000063918,0,0,0
6,2015-08-12,900067000063919,0,0,0
6,2015-08-12,900067000063920,0,0,0
6,2015-08-12,900067000063921,0,0,0
6,2015-08-12,900067000063922,0,0,0
6,2015-08-12,900067000063924,0,0,0
6,2015-08-12,900067000063925,0,0,0
6,2015-08-12,900067000063926,0,0,0
6,2015-08-12,900067000063928,0,0,0
6,2015-08-12,900067000063929,0,0,0
6,2015-08-12,900067000063930,0,0,0
6,2015-08-12,900067000063931,0,0,0
6,2015-08-12,900067000063932,0,0,0
6,2015-08-12,900067000063933,0,0,0
6,2015-08-12,900067000063935,0,0,0
6,2015-08-12,900067000063936,0,0,0
6,2015-08-12,900067000063937,0,0,0
6,2015-08-12,900067000063938,0,0,0
6,2015-08-12,900067000063939,0,0,0
6,2015-08-12,900067000063940,0,0,0
6,2015-08-12,900067000063941,0,0,0
6,2015-08-12,900067000063942,0,0,0
6,2015-08-12,900067000063943,0,0,0
6,2015-08-12,900067000063944,0,0,0
6,2015-08-12,900067000063945,0,0,0
6,2015-08-12,900067000063946,0,0,0
6,2015-08-12,900067000063947,0,0,0
6,2015-08-12,900067000063948,0,0,0
6,2015-08-12,900067000063949,0,0,0
6,2015-08-12,900067000063950,0,0,0
6,2015-08-12,900067000063951,0,0,0
6,2015-08-12,900067000063952,0,0,0
6,2015-08-12,900067000063953,0,0,0
6,2015-08-12,900067000063954,0,0,0
6,2015-08-12,900067000063956,0,0,0
6,2015-08-12,900067000063957,0,0,0
6,2015-08-12,900067000063958,0,0,0
6,2015-08-12,900067000063959,0,0,0
6,2015-08-12,900067000063961,0,0,0
6,2015-08-12,900067000063962,0,0,0
6,2015-08-12,900067000063963,0,0,0
6,2015-08-12,900067000063966,0,0,0
6,2015-08-12,900067000063968,0,0,0
6,2015-08-12,900067000063969,0,0,0
6,2015-08-12,900067000063970,0,0,0
6,2015-08-12,900067000063971,0,0,0
6,2015-08-12,900067000063972,0,0,0
6,2015-08-12,900067000063974,0,0,0
6,2015-08-12,900067000063975,0,0,0
6,2015-08-12,900067000063977,0,0,0
6,2015-08-12,900067000063978,0,0,0
6,2015-08-12,900067000063979,0,0,0
6,2015-08-12,900067000063980,0,0,0
6,2015-08-12,900067000063981,0,0,0
6,2015-08-12,900067000063982,0,0,0
6,2015-08-12,900067000063983,0,0,0
6,2015-08-12,900067000063985,0,0,0
6,2015-08-12,900067000063986,0,0,0
6,2015-08-12,900067000063987,0,0,0
6,2015-08-12,900067000063988,0,0,0
6,2015-08-12,900067000063993,0,0,0
6,2015-08-12,900067000063995,0,0,0
6,2015-08-12,900067000063996,0,0,0
6,2015-08-12,900067000063997,0,0,0
6,2015-08-12,900067000064000,0,0,0
6,2015-08-12,900067000114499,0,0,0
6,2015-08-12,982000365440172,0,0,0
6,2015-08-12,982000365440186,0,0,0
6,2015-08-12,982000365440187,0,0,0
6,2015-08-12,982000365440196,0,0,0
6,2015-08-12,982000365440197,0,0,0
6,2015-08-12,982000365440205,0,0,0
6,2015-08-12,982000365440211,0,0,0
6,2015-08-12,982000365440245,0,0,0
6,2015-08-12,982000365440260,0,0,0
6,2015-08-12,982000365440269,0,0,0
6,2015-08-12,982000365440278,0,0,0
6,2015-08-12,982000365440280,0,0,0
6,2015-08-12,982000365440285,0,0,0
6,2015-08-12,982000365440287,0,0,0
6,2015-08-12,982000365440332,0,0,0
6,2015-08-12,982000365440336,0,0,0
6,2015-08-12,982000365440349,0,0,0
6,2015-08-12,982000365440352,0,0,0
